id,name_en,name_zh,team,league,year,g,pa,ab,h,2b,3b,hr,r,rbi,bb,ibb,hbp,so,avg,slg,obp,ops,sb,cs,sh,sf
93a91c16-b47e-47cf-8c71-d3ca02244f6a,"Yeo-Sang Lee",NULL,韓華鷹,KBO,2012,86,211,182,43,7,0,3,18,19,15,0,2,40,0.236,0.324,0.302,0.626,7,2,12,0
957650c5-fc01-41dc-9dd7-4ad080c4af14,"Yang-Ki Lee",NULL,韓華鷹,KBO,2012,35,54,49,11,2,0,0,8,6,2,0,3,11,0.225,0.265,0.296,0.562,0,0,0,0
9c101a99-9093-4e73-8dfc-acd0ad9eee78,"Dong-Jin Ko",NULL,韓華鷹,KBO,2012,110,334,281,76,12,0,3,32,29,38,1,5,48,0.271,0.345,0.367,0.713,8,9,10,0
a29c2423-83ef-458c-a545-48ebfe727d19,"Yoon-Sep Han",NULL,韓華鷹,KBO,2012,23,20,17,2,0,0,0,7,1,0,0,2,2,0.118,0.118,0.200,0.318,2,0,0,1
a2ee69df-90b2-4a22-9df0-39a57375caf5,"Chang-Sik Song",NULL,韓華鷹,KBO,2012,47,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0
aac77192-4c9a-42e1-b4ad-6c5fe26c04dc,"Ju-Suk Ha",NULL,韓華鷹,KBO,2012,70,141,127,22,1,0,1,10,4,9,0,0,50,0.173,0.205,0.228,0.433,7,2,5,0
b7132b65-6e40-456d-85a1-e73314c3f447,"Jun-Hyeok Oh",NULL,韓華鷹,KBO,2012,10,16,15,2,0,0,0,1,2,0,0,1,3,0.133,0.133,0.188,0.321,0,0,0,0
bf1d5a45-f384-4795-8bed-240e96d7958c,"Seung-Ryong Baek",NULL,韓華鷹,KBO,2012,33,62,52,12,1,0,0,3,3,6,0,3,20,0.231,0.250,0.344,0.594,3,0,1,0
bf924c4f-da94-452b-a211-08433015a5ff,"Dong-Woo Kang",NULL,韓華鷹,KBO,2012,76,290,257,65,16,1,2,35,22,26,0,0,21,0.253,0.346,0.319,0.666,1,2,5,2
c87e0325-5401-4bd0-9340-48b259e8964a,"Hyeon-tae Jeon",NULL,韓華鷹,KBO,2012,2,6,4,0,0,0,0,1,0,1,0,0,1,0.000,0.000,0.200,0.200,1,0,1,0
