id,name_en,name_zh,team,league,year,g,pa,ab,h,2b,3b,hr,r,rbi,bb,ibb,hbp,so,avg,slg,obp,ops,sb,cs,sh,sf
5988b238-7f45-4d1e-8d7b-c400ba535391,Hsuan-Jen Hsieh,NULL,桃猿,CPBL,2013,75,213,186,56,6,0,0,25,19,21,1,2,30,0.301,0.333,0.376,0.71,17,4,3,1
68b65713-1a26-4991-a930-b2ce15529cc0,Yu-Kai Huang,NULL,桃猿,CPBL,2013,10,19,18,2,1,0,0,0,0,1,0,0,10,0.111,0.167,0.158,0.325,0,0,0,0
7b84ff2a-b3a7-44cf-a882-8de1c9660a16,Chih-Ping Lin,林智平,桃猿,CPBL,2013,101,382,343,98,14,2,0,45,30,31,0,2,48,0.286,0.338,0.348,0.686,12,5,5,1
7d8437f3-d715-45f2-92bf-ca0c59c5e120,Kuan-Jen Chen,NULL,桃猿,CPBL,2013,34,121,104,33,5,1,1,12,9,15,1,2,9,0.317,0.414,0.413,0.827,1,0,0,0
86ab3dae-b0db-4059-b30a-1623b9b5388f,Chih-Yao Chan,NULL,桃猿,CPBL,2013,114,407,363,92,10,6,2,48,36,20,1,11,27,0.253,0.331,0.31,0.64,15,3,10,3
982c323e-bf43-48fa-8913-d50b12882ecd,Hsiu-Yen Kuo,NULL,桃猿,CPBL,2013,60,223,204,64,4,2,1,19,26,10,0,1,25,0.314,0.368,0.343,0.71,3,2,4,4
a1cffcd7-9f32-4375-817b-922553b6974d,Te-Lung Yu,余德龍,桃猿,CPBL,2013,113,436,404,112,16,2,2,49,40,16,0,1,54,0.277,0.342,0.306,0.647,21,11,14,1
a40edf6b-68f0-49d1-8847-fb67593654df,Cheng-Yu Chung,NULL,桃猿,CPBL,2013,114,411,372,96,17,7,4,41,49,16,0,4,73,0.258,0.374,0.288,0.662,1,3,8,11
a58fdc68-3435-4ba3-b32d-387195c68473,Yen-Wen Kuo,郭嚴文,桃猿,CPBL,2013,87,326,294,81,15,2,3,38,32,25,1,2,35,0.276,0.371,0.333,0.704,0,0,2,3
b2ebb7da-ea12-4250-b377-bed4fd2af64b,Ngayaw Ake,林智勝,桃猿,CPBL,2013,48,193,164,56,13,2,5,31,29,25,2,2,25,0.342,0.537,0.43,0.967,10,2,0,2
bc360c43-8dec-42c8-ae06-d5914d13ada4,Hao-Jan Huang,NULL,桃猿,CPBL,2013,82,228,206,47,5,2,0,20,14,12,0,1,32,0.228,0.272,0.274,0.546,0,1,9,0
d1180933-b869-4bf2-84f2-54475bf533d9,Chia-Hao Liu,NULL,桃猿,CPBL,2013,44,60,56,11,1,0,0,2,3,2,0,0,16,0.196,0.214,0.224,0.438,0,0,2,0
ee33f085-c899-4fc2-a1bd-349eafbe79d3,Chin-Feng Chen,NULL,桃猿,CPBL,2013,49,186,167,49,12,2,6,19,23,13,0,3,40,0.293,0.497,0.35,0.847,0,2,0,3
f31ddeee-9d59-408d-ab05-a1cb3e773ad6,Yung-Wei Kuo,郭修維,桃猿,CPBL,2013,56,156,142,37,3,0,0,16,11,6,0,2,17,0.261,0.282,0.294,0.576,3,2,3,3
fc4939b9-61e2-499f-938e-2b17d811332c,Chih-Wei Shih,NULL,桃猿,CPBL,2013,31,41,36,11,2,0,0,2,4,3,0,0,3,0.306,0.361,0.35,0.711,0,1,1,1
ffa28a9d-d3e5-4fb1-b39a-306344de2b1f,Yen-Feng Chen,NULL,桃猿,CPBL,2013,28,65,64,12,1,1,0,6,3,0,0,1,15,0.188,0.234,0.2,0.434,1,1,0,0
0a71a2dc-77d6-480b-a8e8-acc45243da6a,Tai-Lung Huang,NULL,兄弟,CPBL,2013,113,449,412,110,19,2,1,41,41,20,0,6,47,0.267,0.33,0.308,0.638,9,4,7,4
2bedc318-e30e-4754-8c52-8b197e513dfd,Min-Yen Chang,NULL,兄弟,CPBL,2013,83,219,191,46,16,0,3,16,24,21,2,3,44,0.241,0.372,0.321,0.693,0,0,1,3
2f8b8a58-2b54-4129-bd8b-f05e991006af,Yu-Hung Lin,NULL,兄弟,CPBL,2013,5,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
33fd8cc2-ca72-4d5e-83cd-cb5e7da8ed5f,Chien-Yu Kuo,NULL,兄弟,CPBL,2013,101,401,368,106,7,3,0,38,24,23,0,1,73,0.288,0.323,0.331,0.654,8,8,8,1
